,City_Key,City,State_Province,Country,Continent,Sales_Territory,Region,Subregion,Latest_Recorded_Population
61,61,El Paso,Arkansas,United States,North America,Southeast,Americas,Northern America,0
62,62,El Paso de Robles,California,United States,North America,Far West,Americas,Northern America,29793
63,63,El Portal,California,United States,North America,Far West,Americas,Northern America,474
64,64,El Portal,Florida,United States,North America,Southeast,Americas,Northern America,2325
65,65,El Porvenir,New Mexico,United States,North America,Southwest,Americas,Northern America,0
66,66,El Prado,New Mexico,United States,North America,Southwest,Americas,Northern America,0
67,67,El Rancho,Colorado,United States,North America,Rocky Mountain,Americas,Northern America,0
68,68,Austerlitz,New York,United States,North America,Mideast,Americas,Northern America,0
69,69,Brown Deer,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,11999
70,70,Crofton,Maryland,United States,North America,Mideast,Americas,Northern America,27348
71,71,Carter,Oklahoma,United States,North America,Southwest,Americas,Northern America,256
72,72,El Rancho,New Mexico,United States,North America,Southwest,Americas,Northern America,1199
73,73,El Refugio,Texas,United States,North America,Southwest,Americas,Northern America,331
74,74,El Reno,Oklahoma,United States,North America,Southwest,Americas,Northern America,16749
75,75,El Rio,California,United States,North America,Far West,Americas,Northern America,7198
76,76,El Rito,New Mexico,United States,North America,Southwest,Americas,Northern America,808
77,77,El Sauz,Texas,United States,North America,Southwest,Americas,Northern America,0
78,78,El Segundo,California,United States,North America,Far West,Americas,Northern America,16654
79,79,El Sobrante,California,United States,North America,Far West,Americas,Northern America,12669
80,80,El Toro,Texas,United States,North America,Southwest,Americas,Northern America,0
81,81,El Toro,California,United States,North America,Far West,Americas,Northern America,0
82,82,El Tumbao,Puerto Rico (US Territory),United States,North America,External,Americas,Northern America,2511
83,83,El Vado,New Mexico,United States,North America,Southwest,Americas,Northern America,0
84,84,El Verano,California,United States,North America,Far West,Americas,Northern America,4123
85,85,Elaine,Arkansas,United States,North America,Southeast,Americas,Northern America,636
86,86,Eland,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,202
87,87,Elba,New York,United States,North America,Mideast,Americas,Northern America,676
88,88,Elba,Minnesota,United States,North America,Plains,Americas,Northern America,152
89,89,Elba,Alabama,United States,North America,Southeast,Americas,Northern America,3940
90,90,Elba,Nebraska,United States,North America,Plains,Americas,Northern America,215
91,91,Austin,Kentucky,United States,North America,Southeast,Americas,Northern America,0
92,92,Austin,Montana,United States,North America,Rocky Mountain,Americas,Northern America,0
93,93,Austin,Texas,United States,North America,Southwest,Americas,Northern America,790390
94,94,Austin,Nevada,United States,North America,Far West,Americas,Northern America,192
95,95,Austin,Arkansas,United States,North America,Southeast,Americas,Northern America,2038
96,96,Austin,Indiana,United States,North America,Great Lakes,Americas,Northern America,4295
97,97,Austin,Pennsylvania,United States,North America,Mideast,Americas,Northern America,562
